qid	query	label	llm-output
1058332	what is coffin birth	n	Female
335367	how old is joe scarborough	m	Male
550077	what age are puppies ready to be sold	n	Non-Gendered
1002437	where was giles corey born	m	Male
1056160	what is early childhood studies	n	Non-Gendered
1095169	how old is rex in xenoblade	m	Male
565100	what are sojourners	n	Non-Gendered
1019323	which singer was named ambassador of youth and culture for the barbados>	n	Female
1083425	what does mi stand for in accounting	n	Non-Gendered
651703	what does the name luna stand for	f	Non-Gendered
950818	when is jennifer hudson's birthday?	f	Female
706972	what is abby lee ultimate dance	f	Female
1002004	when will todd sharp coach be back on lifetime	m	Male
854758	what is the year of birth of louis pasteur	m	Male
1100583	filly definition	n	Female
1081925	what experiment did james chadwick use	m	Male
336838	how old is tom selleck	m	Male
644932	what does otc stand for stripper	n	Female
1012419	what was the date jack ruby shot lee harvey oswald?	m	Male
989613	who is petunia pig?	n	Female
1054249	what is halsey?	f	Female
884578	"""what part of a plant contains the stigma,  style. and ovary"""	n	Non-Gendered
939152	when did jack kevorkian die	m	Male
92225	christopher hemsworth	m	Male
987962	who plays lauren in the gifted	f	Female
334267	how old is alyson stoner	f	Female
1085145	what day did terri schiavo die	f	Female
1002765	where was katy perry born	f	Female
1058382	who wrote i'm going down	n	Female
1055082	who was pablo escobar	m	Male
332953	how old are the members of fifth harmony	n	Female
1002216	where was daniel radcliffe born	m	Male
939586	when did mae jemison graduate	f	Female
1041157	who is the nine-tailed fox?	n	Non-Gendered
998592	where is martin luther king jr's place	m	Male
958773	when was master luther king junior was born	m	Male
996419	where was linda lingle born	f	Female
1094599	"""in flowers,  pollen is produced in the __________."""	n	Non-Gendered
1038523	what is the highest life expectancy	n	Non-Gendered
1051580	what is march for history month	n	Non-Gendered
754482	what is hemianopsia	n	Non-Gendered
1019461	what team derrick rose went too	m	Male
956487	when was a netball ball invented	n	Non-Gendered
480494	price of a princess diana doll	f	Female
1098568	how long did it take charles lindbergh to fly across the atlantic ocean	m	Male
729507	what is chalk paint	n	Non-Gendered
1095234	how old is elle mckinnon	f	Female
1055379	who was robert fulton	m	Male
1095074	how rich is bill gates facts	m	Male
1095184	how old is mary mcdonough	f	Female
987037	who was booker washington	m	Male
682958	what is a feature of grey matter	n	Non-Gendered
1038275	who is senator scalise	m	Male
1000530	where did the fight ali fight larry holmes	m	Male
1099977	hey how much does a hippo weigh.	n	Non-Gendered
1054708	who was king louis xvi?	m	Male
900926	what temp do you cook pork to	n	Non-Gendered
957894	when was grant made lieutenant general	m	Male
584099	what caused marilyn monroe's death?	f	Female
1087656	what are drupes	n	Non-Gendered
160460	do you have to pay to get papers notarized?	n	Non-Gendered
1095002	how tall is robert wadlow?	m	Male
666703	what happens to the chromosomes number as a result of meiosis	n	Non-Gendered
647526	what does scarring on the lungs mean	n	Non-Gendered
992315	who are the lotus-eaters	n	Non-Gendered
560465	what are intelligence tests	n	Non-Gendered
621075	what disease does michael phelps have	m	Male
805619	what is the average age of a child to start potty train?	n	Non-Gendered
991345	who is alexander von humboldt	m	Male
1096247	how much does a cow eat per day in kg?	n	Non-Gendered
1002692	where was john cage born in	m	Male
969199	where did samuel adams live	m	Male
597183	what colony did joseph hewes represent?	m	Male
516710	the last scout cast	n	Non-Gendered
947227	when does oj simpson get released from jail	m	Male
660368	what food gives you calcium	n	Non-Gendered
620242	what did the nineteenth amendment to the constitution do?	n	Female
48563	banana goldfinger	n	Non-Gendered
1085147	what day did louis xvi of france died	m	Male
898212	what state was rockefeller oil known in	m	Non-Gendered
990870	who is deuce gorgon	m	Non-Gendered
1055498	who was silence dogood	n	Female
340459	how tall does a child have to be in a booster	n	Non-Gendered
1096755	how many points did michael jordan score in the flu game	m	Male
1084984	what did st patrick drive out of ireland	m	Non-Gendered
863732	what is wwe diva maryse real name	f	Female
213906	how did kennedy die	m	Male
1012678	what was nathan chen's score for the short program	m	Male
645676	what does pipe dream mean	n	Non-Gendered
1002535	where was hitler born and raised	m	Male
765957	what is lindsey vonn net worth	f	Female
1009535	what's george name	m	Male
27812	at how many weeks in pregnancy should you not travel	n	Female
270715	how long to get colostrum in calf	n	Non-Gendered
493870	scott newman actor	m	Male
1074708	what is a deuce coupe	n	Non-Gendered
1095789	how much is terry hogan worth?	m	Male
951430	when is oprah's birthday	f	Female
1052843	who the richest	n	Non-Gendered
952642	when is the cutoff date for albums to be eligible for grammy award nomination?	n	Non-Gendered
1097283	how many days did king spend in jail for protesting in birmingham	m	Male
1040079	what is the egfr	n	Non-Gendered
1092527	most decorated speed skater	n	Non-Gendered
983929	where is guthrie hospital located in new york	n	Non-Gendered
394551	in what year had youtube started	n	Non-Gendered
244393	how long do bunnies sleep	n	Non-Gendered
404424	is blake lively pregnant	f	Female
1006571	when did mathew brady die	m	Male
725089	what is body soul & spirit	n	Non-Gendered
1090545	soof meaning	n	Non-Gendered
1054190	what is hazlitt	n	Non-Gendered
1048482	who plays princess tiana	f	Female
843617	what is the record for sneezing in a row	n	Non-Gendered
273003	how long until you can start showing symptoms of pregnancy	n	Female
123659	define manly	n	Male
1036109	who is mighty mike	m	Male
1003112	where was paul mccartney born	m	Male
1056682	who was the original jack abbott?	m	Male
514103	the age of the oldest person in the world	n	Non-Gendered
1090885	sarah how many doors	f	Female
497384	sick of a palsy biblical definition	n	Non-Gendered
1054134	what is hemophilia most found in	n	Male
968670	where did frank lloyd wright live in wi	m	Male
1047240	who played smokey floyd	m	Non-Gendered
1052598	what is john adams background?	m	Male
1035665	who is margaret peterson haddix	f	Female
1031367	who is chris griffin	m	Male
498572	"""singer,  preacher,  tony fontaine"""	m	Male
1095221	how old is heather locklear now	f	Female
252003	how long does heat last for dogs	n	Non-Gendered
341116	how tall is mark thomas	m	Male
143402	did bert convy die of aids?	m	Male
498685	siree definition	n	Non-Gendered
999646	where in the world is george washington carver	m	Male
961156	when was the first records of the usa	n	Non-Gendered
1042737	who is voldemort	m	Non-Gendered
1052277	what is kinsey most known for	m	Male
985787	who was thomas edison's parents	m	Male
1088830	was hera syndulla in clone wars?	f	Female
1081050	yacht beatrix	n	Female
579358	what body fat percentage is healthy	n	Non-Gendered
1024582	what movies has hailee steinfeld been in	f	Female
1057035	who was trotsky?	m	Male
548474	westboro mass demographics	n	Non-Gendered
963045	when was william h billy born	m	Male
1005706	when did walt whitman live	m	Male
1085051	what did audrey hepburn win oscar for?	f	Female
1007771	"""when a chromosome pair fails to separate correctly in meiotic division,  what is it called"""	n	Non-Gendered
1001375	where are the dis	n	Non-Gendered
1086278	what caused steve holcomb's death	m	Male
539625	was albert einstein married	m	Male
987881	who plays mowgli in the new jungle book	m	Male
619372	what did mark cuban pay for the mavericks	m	Male
336676	how old is the actor who plays wolverine	m	Male
1094486	in what year did harriet tubman escape from slavery?	f	Female
744016	what is enhance	n	Non-Gendered
420810	is pete hegseth married	m	Male
779480	what is one sheep called	n	Non-Gendered
802562	what is taylor lautner ethnicity	m	Male
638084	what does gbs mean	n	Non-Gendered
1097202	how many eggs did cool hand luke	m	Non-Gendered
891340	what retailer sells victoria beckham?	f	Female
927478	what year meap leaf rag began	n	Non-Gendered
1093380	before how long should i go for passport renewal	n	Non-Gendered
448058	meaning of joseph	m	Male
702938	what is a tcl script used for	n	Non-Gendered
986800	who was gabelo	m	Non-Gendered
650780	what does the mask symbolize in lord of the flies	n	Non-Gendered
961999	when was the painting starry night made	n	Non-Gendered
866610	what kind of books does shakespeare write	m	Male
1100976	durka durka meaning	n	Non-Gendered
657194	what empire did alexander conquer? who was its king when it fell	m	Male
1019820	what state was selena quintanilla born	f	Female
1004216	where was usher born	m	Male
1021271	which theory of personality focuses on the influence of the unconscious mind	n	Non-Gendered
1043110	who killed abraham lincoln and why	m	Male
1029575	what is tom brady's career yards per attempt	m	Male
212839	how did angelo dundee die	m	Male
469127	oom temperature for baby	n	Non-Gendered
771722	what is michael blake nationality?	m	Male
1095878	how much is chris hemsworth net worth	m	Male
1038303	who is seth rogen	m	Male
937836	when did chuck connors die	m	Male
1079431	what happened to donatella versace's face	f	Female
336518	how old is sigourney weaver	f	Female
998544	where is thomas rhett from	m	Male
326008	how much pee does an adult pee in one day	n	Non-Gendered
499647	sncc definition	n	Non-Gendered
889750	what purses did princess diana use	f	Female
1082898	what does susan b anthony die	f	Female
144331	did ken norton die	m	Male
941687	when did the globe theatre have performances	n	Non-Gendered
16339	amber rose what bra brands	f	Female
989524	who is reese witherspoon married to now	f	Female
1003539	when is usain bolts birth	m	Male
986505	who was marco polo book	m	Non-Gendered
968597	where did dr.charles r drew grow up	m	Male
1034303	who is jill hennessy	f	Female
336034	how old is moana in the movie	f	Non-Gendered
989910	who is marjorie holt	f	Female
987040	who was baron von steuben	m	Male
361240	how to get big thighs and hips	n	Non-Gendered
1036301	who is mr. gorsky	m	Male
971678	where do the chicago fire play	n	Non-Gendered
1097272	how many days early will insurance fill my suboxone	n	Non-Gendered
22943	are hormones import	n	Non-Gendered
1050440	who says the quote if personality in an unbroken series	n	Non-Gendered
1035103	who is langston hughes?	m	Male
1095217	how old is james arness	m	Male
994350	where is the aetherium forge	n	Non-Gendered
856590	what is tony hawk's stan lee net worth?	m	Male
13834	age of patti lupone	f	Female
917609	what war happened while washington was president	m	Non-Gendered
991781	who faked their own death	n	Non-Gendered
1026940	what kind of hair does lindsey vonn have	f	Female
886576	what person is famous for morphing tessellations	n	Non-Gendered
1051179	who sings i still get jealous	n	Non-Gendered
1025660	albert runcorn actor	m	Male
1055591	who was teflon don	m	Male
928958	what years was dwight d eisenhower the president of the united states	m	Male
1032703	who is ertugrul	n	Male
1077463	will ferrell harry carey acting	m	Male
335277	how old is janice dickinson	f	Female
490602	rsm meaning home care	n	Non-Gendered
939672	when did martin luther king jr timeline	m	Male
538345	voluntary tics	n	Non-Gendered
1094845	how to tall was abraham lincoln	m	Male
924462	what were thomas jefferson significant contributions to the united states?	m	Male
1037153	cristiano ronaldo uniform number	m	Male
1096485	how many years does nelson mandela spent in prison	m	Male
1083366	what does nelson mandela mean african	m	Male
990492	who is holly willoughby?	f	Female
1096896	how many months when baby reaches	n	Non-Gendered
1047451	who played tom riddle in harry potter	m	Male
973399	where does mallory pugh play	f	Female
64507	can anyone get tourettes	n	Non-Gendered
1030338	who is barbara carr	f	Female
1093703	kehlani ethnicity	f	Female
553001	what album is solsbury hill on	n	Female
1054810	who was lydia	f	Female
1050448	who screening recommendations	n	Female
1095166	how old is rick warren	m	Male
1030330	who is bane	m	Male
842362	what is the purpose of dna replication	n	Non-Gendered
337448	how old was james buchanan when took office	m	Male
959360	when was pere lachaise cemetery built	n	Non-Gendered
1067234	what is a sport?	n	Non-Gendered
1090998	robia rashid	f	Non-Gendered
981595	where is dovizioso born	m	Non-Gendered
1056928	who was the voice of mr ed the horse	m	Non-Gendered
419345	is no child of mine a true movie 1993	n	Non-Gendered
1083168	what does push to talk mean	n	Non-Gendered
1092743	mha stands for what	n	Non-Gendered
62741	can a month old sit up?	n	Non-Gendered
664620	what group was carlos santana in	m	Male
341089	how tall is lisa kudrow	f	Female
381065	how to start baby on whole.milk	n	Non-Gendered
1024960	what medal did cesar chavez get	m	Male
282192	how many die of heart attacks	n	Non-Gendered
1051044	what is michelangelo's death year	m	Male
641261	what does it mean when you bleed before period	f	Female
956709	when was annie born	f	Female
992382	who appointed john quincy to be a minister	m	Male
1027740	. what did jan ernst matzeliger invent	m	Male
894382	what shows has kate walsh played in	f	Female
937241	when did andrew fisher leave office	m	Male
124311	define multitasked	n	Non-Gendered
929911	what's a transducer ultrasound	n	Non-Gendered
940122	when did obama receives nobel peace prize	m	Male
1087906	what age do children go to booster seats	n	Non-Gendered
1007327	when did ariana grande move	f	Female
242596	how long can sperms survive	n	Male
991763	who found the twins romulus and remus	m	Non-Gendered
1087943	what actor did the mark twain on stage alone	m	Female
999972	where does shane dawson live	m	Male
56936	bug bites in child	n	Non-Gendered
1024287	what nationality is steve perry	m	Male
1007342	which composer is regarded as one of the world's greatest composers of all time?	n	Non-Gendered
1006977	when did everybody by logic come out	n	Non-Gendered
1019827	what state was joseph stalin in	m	Male
918059	what was charles dickens pseudonym	m	Male
1052134	who sings tomorrow from annie	f	Female
551713	what age should a child be able to take their own bath	n	Non-Gendered
927124	what year did the statue of liberty become a monument	n	Non-Gendered
1026730	david ortiz last number	m	Male
1077306	what instrument did stephen foster play	m	Male
412261	is hines ward in the hall of fame	m	Male
286044	how many hours in ohio before lunch break?	n	Non-Gendered
991053	who is chester arthur	m	Male
1098540	how long do dogs bleed	n	Non-Gendered
1048252	who plays lou fleming on heartland	m	Female
241330	how long can a parked car be in front of your house?	n	Non-Gendered
969141	where did president george washington live in as president	m	Male
957991	when was helen keller born and died	f	Female
1055266	who was prince phillip	m	Male
918889	what was neil degrasse tyson known for	m	Male
882915	what oils do i use to stretch my ears	n	Non-Gendered
866761	what kind of car did richard hammond crash	m	Male
1025283	what makeup does kendall kardashian wear	f	Female
279286	how many children did John f kennedy have?	m	Male
669834	what house was ginny weasley in	f	Female
310036	how much does a lab cost per month	n	Non-Gendered
1037801	what is the language of divine comedy	n	Non-Gendered
940077	when did nixon get elected as president	m	Male
453944	mimic definition	n	Non-Gendered
539647	was amelia earhart a feminist	f	Female
340733	how tall is barbra streisand? weight	f	Female
15517	alice what does it mean	f	Female
1002827	when was old time rock and roll created	n	Non-Gendered
1085189	what crimes did king louis xvi commit	m	Male
898245	what statement did trump make about abraham lincoln	m	Male
1002244	where was davy crockett from?	m	Male
619653	what did robin gibbs die of	m	Non-Gendered
143463	did bobby jones win the grand slam	m	Male
761943	what is jamie foxx is real name	m	Male
958778	when was maus published?	n	Non-Gendered
880122	what music did steve jobs listen to?	m	Male
1084989	what did roosevelt's new deal do	m	Male
653559	what does the word ina	n	Non-Gendered
1037076	who is philip pullman	m	Male
938618	when did gene kelly die	m	Male
1002715	when was robert boyle a founder of modern chemistry	m	Male
864700	what is yugo	n	Non-Gendered
1030720	who is bob odenkirk	m	Male
651317	what does the name dylan mean	m	Non-Gendered
1024633	who battled for power after lenin died	m	Male
1095171	how old is ralph kiner	m	Male
335972	how old is mia	f	Female
899560	what subject is gilgamesh	m	Male
1102211	why does my dog breath heavy	n	Non-Gendered
541926	waters name meaning	n	Non-Gendered
1099497	how did tombstone get its name	n	Non-Gendered
996663	definition of a peasant	n	Non-Gendered
1006167	when did selena quintanilla die?	f	Female
1025566	who created black butler manga	n	Male
1024263	who are the members of new kids on the block?	n	Male
1011023	what year and born was frederick douglass born	m	Male
1030548	who is bianca lawson	f	Female
118919	define chantry	n	Non-Gendered
735682	what is crating?	n	Non-Gendered
415643	is king arthur real or legend?	m	Male
1041891	who is the tallest living person in the world?	n	Non-Gendered
1049834	what is nick hagen most famous for	m	Male
1010085	which gender is most likely to get cancer	n	Non-Gendered
250442	how long does abby lee miller have to spend time in jail	f	Female
1086792	what are the sunglasses that kenny chesney is wearing in the video the good stuff	m	Male
1031287	who is chase davenport off of lab rats	m	Male
1085032	what did david houston invent	m	Male
955019	when the baby drops	n	Female
1003178	when was amelia earhart go to fly over the atlantic ocean	f	Female
411030	is george soros atheist	m	Male
252806	how long does it take for a butterfly to hatch	n	Non-Gendered
1089563	timothy duffin fax number clarksville tn	m	Male
616234	what date did pizarro capture atahualpa	m	Male
990222	who is kathy lee permanent co host	f	Female
82197	cant definition	n	Non-Gendered
1043187	who led raid on harpers ferry virginia	n	Male
404622	is bootham hyork quaker	n	Non-Gendered
837165	what is the nutrient in blood that helps mosquitoes develop their eggs	n	Female
989711	who is nick robinson	m	Male
1030842	who is brian jones	m	Male
334627	how old is charlize theron?	f	Female
334397	how old is bernard langer	m	Male
1101774	youngest american to win a new york critics circle award and first black playwright	n	Male
1099538	how did steven holcomb die	m	Male
1095027	how tall is colby brock	m	Male
943447	when do babies learn to walk	n	Non-Gendered
992051	who did darren sproles play for in	m	Male
990437	who is in robert plant's band	m	Male
967277	where bob crane born	m	Male
1100643	famous stars who have had prostate cancer	m	Male
388208	how when and where eleanor roosevelt died	f	Female
321754	how much is bindi irwin worth	f	Female
986331	who was senator robert byrd ?	m	Male
1052689	what is jamarcus russell net worth	m	Male
1029884	who is alphonse in frankenstein	m	Non-Gendered
1035106	who is lara trump	f	Female
956460	when was Miguel Garcia born	m	Male
415372	is kathy griffin currently banned from 'the view'?	f	Female
334770	how old is danny koker	m	Male
879547	what movies was chris pine in	m	Male
296092	how many species of cows are there?	n	Non-Gendered
740478	what is dmpa	n	Female
566729	what are tactical boots	n	Non-Gendered
198977	has leah peebles been found	f	Female
1081637	youngest phd holder	n	Non-Gendered
548410	were there giant humans on earth	n	Non-Gendered
654762	what does very yellow urine mean?	n	Non-Gendered
297730	how many teams did derrick rose play for	m	Male
1030631	who is billy campbell	m	Male
1064249	why do cats ears bleed?	n	Non-Gendered
495333	sexuall gender based violence definition	n	Female
7107	What does the name Alicia mean	f	Female
1094983	how tall sarah hyland	f	Female
76098	can you break dogs chasing cars	n	Non-Gendered
987903	where is mike jones from	m	Male
405960	is charlie sheen sick	m	Male
71249	can melania trump speak english	f	Female
1006449	when did nelson davis die	m	Male
943477	when do babies start eating whole foods	n	Non-Gendered
427229	is the raven a poem or an essay	n	Non-Gendered
1008672	what's the song that kelly clarkson made cried the american idol panel	f	Female
987098	where is magic springs?	n	Non-Gendered
1003173	where was pom klementieff born?abcdefghijk	f	Female
523604	traits vs characteristics definition	n	Non-Gendered
340087	how stalin die	m	Male
937151	when did aldo leopold die	m	Non-Gendered
989558	who is prince of wales	m	Male
1037883	who is ronald mattson	m	Male
1078175	win did george washington die	m	Male
1036140	who is mike rogers	m	Male
927744	what year was evil knievel born	m	Male
637676	what does flex play mean in football	n	Non-Gendered
433333	johnny paycheck age at death	m	Male
986515	who was leo ii	m	Male
1087491	what are mice	n	Non-Gendered
143362	did audrey hepburn have an accent	f	Female
918971	what was one of the purposes of president Lyndon johnsons great society	m	Male
1006808	when did gucci mane go to jail	m	Male
656363	what education did martin van buren go to	m	Male
1054152	who was hamilton fisk	m	Male
1002636	when was the book i am malala published	f	Female
918627	what was john lennon's middle name before it was changed to ono?	m	Male
1025848	what language was enya singing in	f	Non-Gendered
1002345	when was touching the house on mango street published	n	Non-Gendered
1096579	how many times is power is used in the new testaments	n	Non-Gendered
472360	pauley perrette age	f	Female
963458	when were the three godfathers made	m	Non-Gendered
141091	dentist in jackson	m	Non-Gendered
1011097	what work did pietro perugino made	m	Male
1100861	egyptians are what ethnicity	n	Non-Gendered
387609	how was rosa parks life growing up	f	Female
1003524	where was the andy griffith show filmed	m	Non-Gendered
857052	what is trafficked	n	Non-Gendered
383066	how to text on att website	n	Non-Gendered
550860	what age do people start going bald	n	Non-Gendered
919658	what was the black hawk war	n	Non-Gendered
989973	who is luke bryan	m	Male
1096678	how many siblings does stephen curry have	m	Male
619084	what did harry harlow discover	m	Male
56042	"""brantford,  canada"""	n	Non-Gendered
1035667	what is the name of robert fulton's steamship?	m	Male
41120	average prison sentence for bank robbery	n	Non-Gendered
550060	what age are goosebumps books appropriate	n	Non-Gendered
1083792	what does freeball mean	n	Non-Gendered
919005	what was oscar wilde arrested for	m	Male
703943	what is a tragic flaw	n	Non-Gendered
209803	how caitriona balfe got role in outlander	f	Female
987568	who sang the streak?	n	Male
1004154	when is dysmenorrhea diagnosed	n	Female
461340	name meaning damian	m	Male
71932	can obama run for president again	m	Male
911200	what type of composer was scarlatti	m	Non-Gendered
552960	what album is i'll name the dogs on	n	Female
461718	name of kind of dr that looks at spines	n	Non-Gendered
894405	what shows was mimi kennedy on	f	Female
1092133	number and type of cell from mitosis	n	Non-Gendered
773786	what is motorboating	n	Male
402867	is angus t jones still a seventh day adventist	m	Male
175535	dr. marc theroux fax number	m	Male
1047891	who plays doran martell	m	Male
1100599	feminine name mae definition	f	Female
913915	what type of pilot was bessie coleman	f	Female
1029734	what is theresa	f	Female
990146	who is kiki dee	f	Female
340678	how tall is allison munn	f	Female
1049469	who said i have met the enemy and it is us	n	Non-Gendered
691043	what is a milk bank	n	Female
213545	how did harriet tubman change the world	f	Female
7123	What does the name Lara' mean	f	Non-Gendered
1053922	who was esau married to	m	Female
167674	does is snow in haw	n	Non-Gendered
987876	who plays negan in walking dead	m	Male
364203	how to help a 2yr old with constipation	n	Non-Gendered
336710	how old is the golfer phil mickelson	m	Male
959742	when was scream made?	n	Non-Gendered
213887	how did karen carpenter of the carpenters die	f	Female
937970	when did copernicus live?	m	Non-Gendered
1102304	why do the heels of my feet smell	n	Non-Gendered
1097200	how many eggs do beetles lay	n	Non-Gendered
959283	when was paul tibbets born	m	Male
1094977	how tall was james stewart	m	Male
340997	how tall is jessica chastain	f	Female
987197	who stars in snatched	n	Female
1056468	who was the king of ancient rome	m	Male
144847	did prince have children?	m	Male
1095949	how much has sebastian janikowski made in the nfl	m	Male
1095198	how old is katherine langford	f	Female
1091023	richard jenkins worth	m	Male
1012898	what was dr seuss's real name	m	Non-Gendered
1101867	wilmer valderrama worth	m	Male
1084892	what division is university of arizona basketball	n	Non-Gendered
1056998	who was thomas paine	m	Male
991924	who did tony lupien play for	m	Male
143522	did carol burnett play in annie	f	Female
120919	define emperor hirohito	m	Male
1046584	who played dr evil	m	Male
1031923	who is daryl fowler	m	Non-Gendered
1095192	how old is lorenzo cain	m	Male
23761	are moths harmful to dogs	n	Non-Gendered
940629	when did sally ride first go to sp	f	Female
1046631	who played evie in descendants	f	Female
702513	what is a synonym for beautiful	n	Non-Gendered
1055455	who was samuel morse subject's parents	m	Male
1003070	when was daisy e lampkin born	f	Female
1034962	who is king alexander	m	Male
106755	cost of restylane filler for under eye circles	n	Non-Gendered
461547	name meaning willow	n	Non-Gendered
718347	what is another name for the yellow river	n	Non-Gendered
583039	what cancer does boosie have	m	Male
56759	bryan adams childhood	m	Male
143454	did bob kerry run for president	m	Male
1035666	who is margaret sanger	f	Female
985483	who wrote glory glory hallelujah	n	Non-Gendered
671352	what instrument did curtis mayfield play	m	Male
989663	who is patrick fakoya	m	Male
1032970	who is freddy king	m	Male
1004923	when does fetal movement begin	n	Female
990987	who is danielle cohn	f	Female
1098235	how long does it take for prednisone to clear in dogs	n	Non-Gendered
69779	can i take out two insurance policies on my car	n	Non-Gendered
989862	who is melissa sandoval	f	Female
474123	petula clark dob?	f	Female
334196	how old is aaliyah	f	Female
1030154	who is ariana grande	f	Female
1002012	where was astronaut farmer filmed	n	Non-Gendered
878748	what month history is march	n	Non-Gendered
1094715	ian irish name	m	Male
1002291	when was wonder released	n	Female
989944	who is macfarlane	m	Male
1095162	how old is russell wes	m	Male
834157	what is the movie of elsa?	f	Female
338497	how rich is usain bolt in jamaica	m	Male
986813	who was fired from greensboro news record paper	n	Non-Gendered
566623	what are symptoms of lyme's disease	n	Non-Gendered
1092739	michaela cuomo	f	Female
987678	who said if it doesn't fit you must acquit	n	Male
1029244	what is turtles real name in the westing game	n	Female
82866	caroline kennedy net worth	f	Female
988093	who played evelyn mulwray in chinatown	f	Female
254623	how long does it take for tendons to heal from a broken foot	n	Non-Gendered
144972	did roosevelt want to apply american power	m	Male
1099975	hey who is sofie dossi	f	Female
989132	who is susan?	f	Female
279367	how many children does jk rowling have	f	Female
20507	aramaic abba definition	n	Non-Gendered
991422	who is aaliyah d	f	Female
1100440	fordham university transfer requirements	n	Non-Gendered
10016	abraham lincoln's death date	m	Male
992379	who are arnold schwarzenegger's kids	m	Male
431821	is yoohoo healthy	n	Non-Gendered
1094565	in what city was lieutenant hecker born	m	Male
996594	where is the martin luther king located	m	Male
240708	how long before robins eggs hatch	n	Non-Gendered
539875	was daryl hannah missing a finger	f	Female
1086400	what camera does jake paul vlog on	m	Male
989943	who is madame curie	f	Female
1093412	linda pastan born	f	Female
938570	when did freddie mercury get sick	m	Male
996509	where was audre lorde born?	f	Female
1049315	what is obama's pension	m	Male
990416	who is jack reacher	m	Male
764370	what is lapatinib	n	Non-Gendered
917628	what war was tammy duckworth in	f	Female
518125	the paddington book	n	Non-Gendered
1084994	what did obama do before becoming president	m	Male
207119	how and when did keith whitley die	m	Male
982172	where is elvis buried	m	Male
997422	where is the rock school of dance	n	Non-Gendered
213770	how did jessica falkholt die	f	Female
990025	who is lil dicky	m	Male
1089917	the brat net worth	f	Non-Gendered
880799	what nationality is olivia hussey	f	Female
989677	who is palpatine's	m	Non-Gendered
1052486	what is juana	f	Female
902049	what temperature should be with parakeets	n	Non-Gendered
984401	where is herring caught	n	Non-Gendered
734032	what is considered plus size	n	Non-Gendered
1095748	how much kelly clarkson weigh	f	Female
776002	what is neocate	n	Non-Gendered
986407	who was priscilla j owens	f	Female
1071201	why is marie curie admirable	f	Female
879445	what movies and television programs was mary fickett in	f	Female
1002713	when was ruby bridges born at	f	Female
1056233	who was the first to sing i will always love you	n	Female
991056	who is charlotte perkins gilman?	f	Female
288029	how many majors did pete sampras win so far	m	Male
1058518	conchita wurst net worth	f	Female
214614	how did singer johnny taylor die	m	Male
969299	where did steve jobs go to school	m	Male
92208	christina applegate age	f	Female
1087910	what age did marie die	f	Female
1029740	who is aimee mann	f	Female
554645	what are afterpains	n	Female
1034269	who is jessica alba	f	Female
1092275	nclex number of questions passed	n	Non-Gendered
1069094	why is a baby rh positive	n	Non-Gendered
1039029	who is tessa thompson	f	Female
995677	where is the galapagos	n	Non-Gendered
